음식점_이름,매출_비율,키워드
대춘해장국 노형점,상위_10,"대춘해장국, 내장탕, 해장국"
대춘해장국 본점,상위_25_50,"대춘해장국, 해장국, 내장탕, 제주도, 맛집, 깔끔한 국물, 푸짐한 양, 친절한 서비스, 주차 편리, 다진마늘, 들깨가루, 후식 커피, 웨이팅, 추천, 잡내 없는 내장, 아침식사, 유명한 맛집, 제주도민 추천, 얼큰한 맛, 국물 시원, 다양한 선택, 포장 가능, 셀프바, 동치미, 고사리, 간편한 주문, 테이블 오더, 해장국 원탑, 제주 여행, 인생 해장국."
대패도,상위_50_75,"단골집, 가성비, 친절, 대패삼겹살, 맛집"
대포동산횟집2호점,상위_10_25,"흑돼지, 가성비, 재방문"
대포어촌횟집,상위_25_50,"물회, 신선도, 가성비"
대포칼제비,상위_50_75,"보말칼국수, 국물, 친절"
해송횟집,상위_25_50,"구문쟁이, 오션뷰, 신선한 회"
대풍미락 함덕본점,상위_10,"뷰, 친절, 스끼다시"
대풍해장국,상위_25_50,"해장국, 내장탕, 셀프계란후라이"
대학로고전떡볶이,상위_50_75,"떡볶이, 튀김, 김밥, 인심, 맛집, 가성비, 분식집"
대학로참닭갈비 아라점,상위_50_75,"닭갈비, 가성비, 불친절"
대학로황가네 시청점,상위_25_50,"껍데기, 꼼장어, 친절, 맛집, 해장국"
대한식당 일도점,상위_50_75,"해산물, 새우회, 해물라면"
대향연탄구이,상위_75_90,"고기, 친절, 숙성"
대화해장국,상위_75_90,"해장국, 내장탕, 친절, 김치, 육개장"
댄싱포크,상위_50_75,"댄싱포크, 양고기, 파스타, 차우더, 인테리어, 예약제, 산방산, 정성, 맛집, 제주"
더스테이블,상위_75_90,"디저트, 커피, 친절함, 인테리어, 맛집"
더전복,상위_50_75,"전복, 솥밥, 오션뷰"
더벤티 고성교차로점,하위_10,"사장님 친절, 커피 맛있음, 가성비 좋음"
더블유,상위_75_90,"고급스러운 인테리어, 친절한 사장님, 분위기 좋은 와인바"
더애월 본점,상위_10_25,"김치찌개, 두루치기, 솥밥"
더오젠,상위_50_75,"돈까스, 야외 테라스, 안주"
더웨이팅,상위_25_50,"안심카츠, 들기름, 제주도"
더헤이븐,하위_10,"분위기, 디저트, 친절, 커피, 에그타르트, 소금빵, 생크림케이크, 청귤에이드"
더회전훠궈,상위_25_50,"가게 리뷰 가성비, 회전훠궈, 소스, 신선한 재료, 혼밥, 매운탕, 친절한 서비스"
덕성원 이도점,상위_10_25,"덕성원, 꽃게짬뽕, 간짜장, 탕수육, 가성비, 중식, 맛집, 친절, 볶음밥, 해물"
덕성원,상위_10,"꽃게짬뽕, 탕수육, 간짜장, 서귀포 맛집, 해물, 매운맛, 양, 국물, 친절, 비린내, 짜장면, 수제만두, 전통, 맛집, 제주도, 고추짬뽕, 볶음밥, 식사, 해물탕, 면발, 고객 서비스, 재방문, 추천, 불친절, 가격, 양배추, 식사시간, 웨이팅, 청결, 조리, 해산물, 맛있어요, 비추, 실망, 식사메뉴, 고기, 소스, 자극적, 기름"
덕수아이흑돼지,상위_10,"친절, 고기, 맛집"
덕수영애네,상위_25_50,"돔베고기, 가성비, 친절한 서비스, 반찬, 도민맛집"
제2덕승,상위_25_50,"갈치조림, 고등어구이, 우럭매운탕, 가성비, 신선함, 친절, 맛집, 제주도, 현지인, 반찬"
신촌덕인당,상위_10,"쑥빵, 보리빵, 담백함, 건강한맛, 포장"
덕천연수원,상위_10_25,"친절함, 가성비, 깨끗함, 고기, 예약"
덤불,상위_75_90,"흑임자크림, 방울매실차, 감성적인 분위기"
덤장 중문점,상위_10,"전복, 갈치, 친절"
데스띠노,상위_50_75,"맛있음, 인테리어, 추천, 서비스, 가성비"
델문도로스터스,상위_50_75,"커피, 가성비, 분위기"
도갈비,상위_10,"고기, 친절, 제주도"
도그모루,상위_50_75,"애견운동장, 넓은 공간, 친절한 직원"
도남오거리식당 외도점,상위_10_25,"가성비, 소고기, 위생, 친절, 놀이방"
제주 도도리고기국수,상위_10,"고기국수, 육파전, 가성비, 친절한 서비스, 공항 근처"
도두어부의밥상,상위_50_75,"활우럭, 조림, 전복죽, 제주맛집, 신선한 재료, 친절한 서비스"
예소담 도두점,상위_25_50,"국수, 고기국수, 갈치초밥, 전복물회, 서비스, 친절, 제주도맛집"
도두해수파크구내매점,상위_50_75,"찜질방, 친절, 불편, 바다, 군것질"
도렐 제주 본점,상위_25_50,"너티클라우드, 도렐, 커피"
도련들,하위_10,"고기질, 친절한 직원, 청결한 매장"
도르도르 제주서귀포점,상위_25_50,"딱새우, 라멘, 서귀포맛집, 친절한 서비스, 제주일식요리"
도리골토종닭,상위_50_75,"닭샤브샤브, 친절한 사장님, 양이 푸짐한"
DORIP,상위_50_75,"고사리버터, 분위기, 친절한 사장님"
도마도숯불갈비,상위_75_90,"냉동고기, 가성비, 친절 서비스"
도미노피자 제주노형점,상위_25_50,"피자, 직원, 맛"
도미노피자 제주서귀포점,상위_25_50,"피자, 치즈, 친절한 서비스"
도미노피자 제주이도점,상위_25_50,"피자, 1+1, 친절, 토핑, 가성비, 포장, 맛있어요"
도새기1982 동홍본점,상위_50_75,"고기집, 숙성대패, 친절한 사장님"
도새기1982 중문점,상위_50_75,"대패삼겹살, 가성비, 친절, 로또 이벤트, 숙성 고기"
도시어부,상위_25_50,"신선한 활어회, 가성비, 모듬회"
도치돌한우숯불,상위_10,"육회, 갈비탕, 가성비, 물냉면, 친절한 서비스"
도톰 애월점,상위_10,"고등어회, 딱새우, 가성비"
독도는우리땅,하위_10,"세꼬시, 탕, 친절, 맛집, 양념게장, 우럭조림, 반찬, 가격"
돈고팡 산방산점,상위_50_75,"고깃집, 흑돼지, 친절한 서비스"
돈글래,상위_50_75,"흑돼지, 사장님 친절, 고기 맛"
돈까스가있는풍경,상위_25_50,"돈까스, 가성비, 웨이팅, 맛집, 혼밥"
돈꿀꺽 노래연습장,상위_10_25,"가격, 비추, 좋아요"
돈내코손두부,상위_50_75,"순두부, 수육, 가성비, 친절, 한라산뷰"
돈내코장원식당,상위_75_90,"맛집, 친절, 고향 집밥"
돈도칸 연동흑돼지,상위_10,"고기, 흑돼지, 친절한 서비스"
돈둥지,하위_10,"오돌뼈, 소갈비, 된장국수"
돈드림가든,상위_50_75,"흑돼지, 친절한 서비스, 유기농 채소"
돈떵이,상위_10_25,"고기, 김치찌개, 친절"
돈떵이 용담점,상위_50_75,"고기질, 친절한 사장님, 근고기, 목살, 비계"
돈뜰꽃돼지생고기,상위_25_50,"생고기, 삼겹살, 친절한 사장님"
애월 돈마니,상위_50_75,"고기, 친절, 맛집"
돈마루,상위_25_50,"고기, 반찬, 서비스"
제주돈명가,상위_10_25,"갈비탕, 가성비, 친절함"
돈바당 제주표선본점,상위_50_75,"고기, 친절, 오션뷰"
돈사돈 별관,상위_10,"흑돼지, 고기 퀄리티, 친절한 서비스"
돈사무소,상위_10_25,"청결, 친절, 고기맛"
돈사촌 외도점,상위_50_75,"목살, 흑돼지, 연탄불"
돈사향 올레시장본점,상위_75_90,"항정살, 갈매기살, 제주돼지, 고기 질, 양념, 해물라면, 친절 서비스, 반찬 다양성"
돈삼겹 노형뜨란채점,상위_25_50,"돈삼겹, 대패, 가성비"
돈삼겹 노형점,상위_75_90,"가성비, 친절, 맛, 대패삼겹살, 볶음밥"
돈삼촌연탄구이,하위_10,"고기, 밑반찬, 콩나물라면, 친절, 맛집"
돈삼춘,상위_50_75,"고기, 김치찌개, 친절함"
돈세상,하위_10,"대패삼겹살, 친절, 가성비, 김치찌개, 재방문"
돈소금,상위_50_75,"고기, 된장찌개, 친절함, 밑반찬, 가성비"
돈수육,상위_10_25,"수육, 고사리 육개장, 세트 메뉴, 맛집, 친절한 서비스"
돈&바당 숯불구이,상위_25_50,"고깃집, 놀이방, 청결, 맛있음, 가족모임"
돈앤삼겹 삼도점,상위_25_50,"대패삼겹살, 가성비, 홀서버"
돈앤삼겹 하귀점,상위_25_50,"대패삼겹살, 가성비, 옛날삼겹살"
돈앤정,상위_75_90,"가성비, 음식맛, 청결, 친절, 반찬가짓수"
돈야탑촌 본점,상위_50_75,"특수부위, 항정살, 가성비"
돈야탑촌 일도점,상위_75_90,"갈매기살, 친절, 유모차"
돈어길,상위_10,"고기, 친절, 재방문"
돈오름숯불갈비,상위_75_90,"고기, 제주 흑돼지, 사장님"
돈와랑,상위_50_75,"고기, 반찬, 친절"
돈이랑,상위_10,"흑돼지, 고기구이, 친절한 서비스"
돈이랑 성산점,상위_25_50,"목살, 흑돼지, 친절함, 김치찌개, 고기 구워주기"
돈자루,상위_50_75,"고기, 가격, 친절"
돈장군,상위_10_25,"양념갈비, 매운갈비, 친절한 직원"
돈지식당,상위_10_25,"고등어회, 방어회, 가성비"
돈파스타정원,상위_25_50,"해물, 가성비, 친절, 뷰, 맛집"
돈해야,상위_10_25,"돼지갈비, 흑돼지, 해산물"
돌다메 이호애월본점,상위_10,"고기, 가성비, 웨이팅"
돌담길괴기집 흑돼지 애월곽지,상위_75_90,"흑돼지, 고기, 친절한 서비스"
돌담땅콩국수,상위_75_90,"고기국수, 땅콩국수, 친절한 사장님"
돌담아구찜,하위_10,"똥집, 아구찜, 친절한 서비스, 해물찜, 가성비, 놀이방"
돌아온놀부네,하위_10,"오리고기, 한방양념, 제주도"
돌아온놀부네,상위_50_75,"오리구이, 들깨칼국수, 건강한 맛, 친절한 서비스, 제주 맛집"
돌집식당,상위_10_25,"밥도둑, 게장, 친절한 직원"
돌카롱 제주공항점,상위_50_75,"주차, 테이크아웃, 돌카롱"
돌카롱 중문점,상위_50_75,"돌카롱, 제주여행, 마카롱"
돌코롬으뜸아이스크림할인점 조천점,하위_10,"아이스크림, 저렴함, 무인 슈퍼"
돌하르방식당,상위_50_75,"각재기국, 해물뚝배기, 도민맛집, 비린맛, 친절한 서비스, 가성비, 정이 넘치는, 건강한 음식, 무한 리필, 제주도"
돌하르방나주곰탕 2호점,상위_25_50,"고기, 친절, 갈비탕, 돌솥밥, 반찬"
돔베고기 닭칼국수,상위_50_75,"음식, 신선한 재료, 친절한 서비스"
돔베돈,상위_10,"고기, 친절, 제주도"
돗깨비,상위_50_75,"가격, 맛, 친절함, 반찬, 고기, 청결, 가성비, 숙소, 제주도, 재방문"
돗도구리돼지머리국밥,하위_10,"콩국수, 족탕, 순대국밥, 돼지국밥, 담백한 국물"
돗토리,하위_10,"프레첼, 디저트, 커피, 아몬드크림치즈, 케이크"
동가,상위_50_75,"간짜장, 수타면, 탕수육, 짬뽕, 친절한 직원, 제주 맛집"
동광가든,상위_75_90,"고기, 친절, 가성비"
동광생오리집,상위_25_50,"잡채, 오리고기, 가성비"
동막골 삼도동 본점,상위_10_25,"동태탕, 막걸리, 가성비, 솥밥, 해장, 제주맛집"
동문삼원횟집,상위_10_25,"가성비, 신선도, 친절함"
아방닭강정 동문시장야시장,상위_25_50,"닭강정, 감귤마늘, 사장님 친절"
동문올레찐빵 제주본점,하위_10,"쑥찐빵, 맛있어요, 저렴한 가격"
동백낭식당,상위_25_50,"흑돼지두루치기, 친절한 사장님, 깔끔한 시설"
동백부엌,상위_10_25,"집밥, 리필, 친절, 반찬, 맛집"
동백양식당,상위_50_75,"콜드피자, 해산물바질크림파스타, 아란치니, 스프, 치아바타, 리조또, 제주도, 양식당, 식전빵, 분위기"
동백점빵,상위_25_50,"동백빵, 치즈, 오징어, 달달한, 메밀"
동복뚝배기 함덕,상위_10_25,"갈치조림, 해물뚝배기, 친절한 서비스, 오션뷰, 맛집"
동서지간,상위_25_50,"돼지갈비, 동태탕, 매운맛"
동선제면가,상위_25_50,"고기국수, 돔베고기, 주차 어려움"
동성식당,하위_10,"맛집, 친절, 염소탕, 삼계탕, 제주도"
동우통닭,상위_75_90,"닭똥집, 친절, 양 많음, 맛있음, 서비스"
동이트는집,상위_25_50,"감자탕, 아구찜, 친절한 서비스, 포장주문, 푸짐한 양"
동진식당 고기국수 동문시장점,상위_10_25,"고기국수, 담백함, 제주향토음식"
동진식당 공항점,상위_75_90,"고기국수, 멸고국수, 비빔밥, 고사리육개장, 공항근처"
동춘돌곱창 제주1호점,상위_75_90,"곱창, 친절, 전골, 신선, 반찬, 고소, 서비스, 맛집"
동춘돌곱창 제주서귀포점,상위_50_75,"곱창, 친절, 맛집"
동트레,상위_50_75,"친절, 맛있음, 재방문, 해물순두부, 아침식사, 가격대비"
동해물가든,상위_25_50,"생갈비, 가성비, 친절, 솥밥, 제주도"
동해수산회센타,상위_50_75,"가성비, 신선한 회, 친절한 서비스"
돼지공화국,상위_75_90,"고기, 양념갈비, 무한리필, 친절함, 저렴한 가격"
돼지목장,하위_10,"고기, 볶음밥, 서비스, 흑돼지, 제주"
돼지삼춘생구이,상위_10_25,"고기, 김치찌개, 친절 서비스"
돼지삼형제 제주중문점,상위_25_50,"고기, 육즙, 김치찌개"
두가시영,하위_10,"오리 요리, 갈비김치찜, 친절한 서비스"
두둥지,상위_50_75,"야키토리, 일본 분위기, 친절한 서비스, 다양한 주류, 신선한 재료, 만족스러운 가격"
두루김밥,상위_25_50,"김밥, 아침, 맛있어요"
두루두루,상위_10_25,"객주리조림, 아나고구이, 가성비"
두리둠비 제주서귀포본점,상위_10_25,"두부, 순두부찌개, 흑돼지, 맛집, 친절, 건강한, 재방문, 가족, 제주도"
두엔데,상위_75_90,"프라이빗, 스페인 요리, 맛있음, 독채, 분위기"
듀크타코,상위_75_90,"타코, 서귀포, 힙한 분위기"
듀포레,상위_10,"카페, 바다뷰, 비행기"
드롭탑 제주용담해안도로점,상위_75_90,"맛있음, 친절함, 뷰, 청결, 운영시간"
드숑,상위_50_75,"블루베리요거트스무디, 가성비, 베이커리카페, 친절, 디저트, 다양한 메뉴"
듬뿍낙지 모슬포점,하위_10,"낙지, 가성비, 계란후라이, 순두부찌개, 매운맛"
듬삭헌국밥집,상위_75_90,"국밥, 비빔국수, 친절한 사장님, 가성비, 제주 맛집"
등촌샤브칼국수 제주점,상위_10_25,"등촌, 칼국수, 볶음밥, 샤브샤브, 친절, 신선한 재료, 얼큰한 국물, 주차 편리, 대만족, 맛집"
종달리 카페 디사이드온,상위_75_90,"디온 라떼, 드립커피, 친절한 사장님"
디트루키친,상위_75_90,"스테이크 파스타, 감자스프, 호지차 푸딩, 브런치, 청결"
디티이커피,상위_50_75,"커피, 디저트, 접근성"
딜레탕트 조천함덕점,상위_75_90,"키슈파이, 브런치, 두바이 초콜릿, 흑돼지, 모던 인테리어, 바다뷰, 감자샐러드"
딤섬9898,상위_25_50,"딤섬, 친절한 서비스, 푸짐한 양"
딱새우랑,하위_10,"해물라면, 고등어회, 딱새우, 뷰맛집, 친절, 신선한 재료, 제주도, 혼밥, 맛집, 분위기"
땡초김밥싱싱왕만두 봉개점,하위_10,"맛, 친절, 혼밥, 주차, 김밥"
떡보의하루 서귀포점,하위_10,"떡, 쫄깃함, 비주얼, 만족, 환갑잔치"
떡하니,상위_50_75,"맛있어요, 특별함, 친절, 떡, 제주도"
떼르떼,하위_10,"빙수, 요거트, 녹빙"
또똣,상위_75_90,"고기국수, 막창순대, 웨이팅"
또똣부뚜막,하위_10,"순두부찌개, 청국장, 반찬"
또똣 제주혼술바,상위_50_75,"친절한 사장님, 분위기 좋은, 혼술 바"
또바기닭갈비,상위_75_90,"닭갈비, 친절, 맛집"
또빵,상위_50_75,"고사리 치아바타, 다양한 빵 종류, 제주도 맛집"
또순이모부페,하위_10,"사장님, 반찬, 집밥, 혼밥, 맛있어요, 청결, 친절"
또올래 실내 포장마차,상위_75_90,"한치물회, 쥐치조림, 친절한 사장님"
또옵서식당,하위_10,"가게 리뷰 가성비, 친절, 집밥, 두루치기, 고등어구이, 반찬 구성, 제주 여행"
뚜레쥬르 제주노형한라점,상위_25_50,"케이크, 샌드위치, 친절함, 빵, 맛있음"
뚜레쥬르 제주서사라점,상위_10_25,"빵집, 샌드위치, 친절한 서비스"
뚱돼지,상위_75_90,"고기, 친절, 맛집"
뚱보네급식실,상위_75_90,"단어1: 맛, 단어2: 서비스, 단어3: 분위기 리뷰 내용: 좋아요"
뚱보아저씨,상위_10_25,"갈치구이, 가성비, 성게미역국"
뚱보조개 바다풍경점,상위_25_50,"조개구이, 친절, 바다뷰"
뚱이네장어&고기,하위_10,"굿, 맛, 추천"
뜨레솥밥,상위_75_90,"친절한 사장님, 솥밥, 맛있는 음식"
뜨르르,하위_10,"정식, 솥밥, 반찬"
뜰채,상위_25_50,"반찬, 생선구이, 가성비"
뜰채 제주함덕점,상위_25_50,"신선한 회, 가성비, 오션뷰 테라스"
뜰향기 조천에코랜드 사려니숲길,상위_75_90,"고등어구이, 제육볶음, 가성비, 친절, 반찬"
라라코스트 서귀포점,상위_10_25,"친절, 가격, 키즈존"
라우나,상위_50_75,"아란치니, 화덕피자, 디저트, 신선한 재료, 친절한 서비스, 식감, 재방문, 이탈리안, 파스타, 샐러드"
라이진,상위_50_75,"짬뽕, 마농탕수육, 깔끔한 국물"
라이터스블럭,상위_50_75,"라이터스 블럭, 제주시, 브런치 맛집, 헬시볼, 플레이팅, 신선한 재료, 커피, 분위기, 디저트, 친절한 서비스"
라지마할,상위_50_75,"인도 음식, 커리, 난, 맛집, 친절, 제주 여행, 비건, 매운맛, 가성비, 탄두리치킨, 팔락파니르, 디저트, 이국적, 런치세트, 푸짐한 양"
라타볼라 함덕본점,상위_25_50,"제주도, 소셜다이닝, 친절한 사장님, 맛있는 음식, 분위기 좋음, 가성비, 다양한 메뉴, 혼자 여행, 대화, 특별한 경험"
라토커피제주,상위_50_75,"커피, 친절, 분위기, 주차, 맛집"
위미애머물다락쿤,상위_75_90,"태국음식, 바다뷰, 친절한 사장님"
랍씨네,상위_50_75,"랍스타, 해산물, 바다뷰, 친절함, 해물라면"
랑이식당,상위_50_75,"만두전골, 튀김만두, 건강한 맛"
래원,상위_25_50,"탕수육, 간짜장, 칠리새우, 짬뽕, 군만두, 해물, 가성비, 청결, 메뉴 다양성, 중식"
랜돌프비어 제주연동점,상위_10,"피자, 수제맥주, 친절한 서비스, 가성비, 제주도 맛집"
랜돌프비어 제주연동점,상위_50_75,"피자, 수제맥주, 친절한 서비스, 가성비, 제주도 느낌"
카페 레이어드 제주점,상위_10_25,"스콘, 케이크, 바다뷰, 포장, 인테리어"
카페 레이어드 제주점,상위_10_25,"스콘, 케이크, 바다뷰, 포장, 인테리어"
레이트벗 커피 로스터스,하위_10,"커피, 사장님, 드립"
레인보우치킨,하위_10,"레인보우치킨, 친절한 서비스, 제주 맛집, 간장치킨, 가성비, 바삭한 치킨, 떡볶이, 가족같은 분위기"
카페 레크레,상위_25_50,"카페, 뷰, 빵, 인테리어, 힐링, 음료, 서비스"
렐레펑 테러블,하위_10,"맛있음, 태국 음식, 추천"
로맨틱새우 애월곽지본점,상위_50_75,"코코넛 쉬림프, 새우, 키즈 메뉴"
로컬제주이야기카페,하위_10,"카페, 바다뷰, 비행기"
록마,하위_10,"지네, 친절, 맛있어요, 뷔페, 환불"
롯데리아 제주삼화지구점,상위_10_25,"햄버거, 친절, 배달, 감자튀김, 할인, 데리버거, 돈가스버거, 공용주차장, 외식, 편안함"
롯데리아 제주아라점,상위_10_25,"넓은 매장, 새우버거, 빠른 서비스"
롯데리아 제주표선해변점,상위_25_50,"뷰, 불고기버거, 아이스크림, 테이크아웃, 표선해수욕장"
엔제리너스 제주공항1층점,상위_10,"아메리카노, 애플파이, 공항"
롱리브,상위_25_50,"인테리어, 커피, 디저트"
꼬뜨도르호텔,상위_10_25,"청결, 친절, 가성비, 조용함, 숙소, 해변, 조식"
롸이스페이퍼떡볶이 제주영어교육도시점,하위_10,"떡볶이, 위생, 친절"
루나,상위_75_90,"웨딩촬영, 친절, 예약"
루딕,상위_25_50,"양식집, 가성비, 친절한 서비스, 다양한 메뉴, 맛집"
루스트플레이스 삼화점,상위_50_75,"서비스, 맛, 가족모임"
루스트플레이스시청점,상위_25_50,"가격, 가성비, 직원 친절도"
루스트플레이스 칠성로점,상위_10_25,"크림파스타, 친절한 직원, 넓은 매장"
루핀,상위_75_90,"제주, 망고빙수, 티라미수, 디저트, 커피, 바다뷰, 민트, 청귤"
류차이,상위_10_25,"중국냉면, 짬뽕, 탕수육"
르바게트,상위_75_90,"소세지 페이스트리, 감자치즈바게트, 친절한 사장님, 제주도, 빵 맛집, 인테리어, 재방문, 에그타르트, 커피, 까눌레"
르 덕수지앵,상위_50_75,"제주, 와인, 펫프렌들리, 사장님, 분위기"
리부아르,상위_50_75,"뷰, 음료, 디저트, 친절, 재방문"
리엘루,상위_25_50,"짬뽕, 간짜장, 불친절"
리치망고 협재점,하위_10,"리치망고, 친절, 망고맛"
리치망고 도두해안로점,하위_10,"리치망고, 망고쥬스, 제주 여행, 맛있어요, 비싸요, 친절한 서비스"
리치망고 함덕점,상위_75_90,"망고주스, 연예인 이름 호출, 함덕해변"
리틀비엣,상위_50_75,"쌀국수, 가성비, 베트남 현지맛"
릴로,상위_25_50,"감자스프, 샌드위치, 타르틴"
마녀상회,상위_50_75,"야외공간, 흑돼지, 분위기, 고기, 친절, 김치찌개, 재방문, 제주도"
마노르블랑,상위_10_25,"마노르블랑, 핑크뮬리, 포토존, 정원, 음료"
마농 제주본점,상위_25_50,"분위기, 친절, 가족 친화적"
마농치킨중앙통닭3호점,상위_75_90,"마농치킨, 마늘향, 바삭한 치킨"
마니주,상위_10,"가성비, 신선한 회, 친절한 서비스"
마님순대,상위_25_50,"뼈다귀탕, 순대국밥, 친절한 서비스"
마담나탈리소셜클럽,상위_25_50,"친절한 사장님, 분위기 좋은 곳, 다양한 맥주"
마당육,상위_25_50,"소고기, 친절, 인테리어, 고기질, 가족식사, 제주도맛집, 서비스, 반찬, 부드러움, 추천"
제주섭지회관&마돈,상위_50_75,"신선한 해산물, 말고기, 친절한 서비스"
마라양꼬치,상위_10_25,"양꼬치, 허니양갈비, 구이류, 맛집, 청결"
마루나키친,상위_25_50,"제주, 해물장, 친절한 서비스"
마린보이횟집,상위_50_75,"친절, 신선도, 가성비, 맛, 직원 서비스"
마마식당야식,상위_50_75,"무난, 반찬, 손맛, 친절"
마시레치킨,상위_10_25,"치킨, 웨이팅, 바삭함"
마시오름,상위_25_50,"분위기, 전통주, 안주"
마우돈,상위_75_90,"말고기, 무한리필, 친절한 서비스"
마운트 에베레스트 레스토랑 제주,상위_50_75,"야채카레, 치킨볶음면, 갈릭난, 인도음식, 제주맛집, 탄두리치킨, 커리, 이국적인 분위기"
오늘도마주앉아,상위_25_50,"깐풍기, 기본안주, 푸짐한 양, 서귀포, 맛집"
마중물삼계탕,상위_25_50,"삼계탕, 양, 국물"
마초면탁해안,상위_75_90,"사바가케우동, 냉라멘, 가라아게"
마초왕갈비,상위_25_50,"고기, 가성비, 친절 서비스"
마커스카페,하위_10,"뷰, 커피, 크로플, 아이스크림, 친절, 힐링"
마크사이공제주 한림협재금능판포점,하위_10,"흑돼지, 쌀국수, 친절함, 바다뷰, 수비드"
마키산도 Hibiki Island,하위_10,"마키산도, 우동, 친절함"
막갈비,상위_75_90,"막갈비, 친절, 김치찌개, 고기, 밑반찬, 제주도, 맛집"
막둥이해녀복순이네,상위_75_90,"물회, 성게칼국수, 신선한 재료"
막창꾸우맨,상위_75_90,"가게 리뷰 가성비, 친절, 양 많음, 서비스, 맛있음"
만금식당,상위_75_90,"옥돔, 반찬, 가성비, 친절, 맛집, 정식, 제주도, 집밥, 재방문, 부드럽다"
만덕본가,상위_50_75,"갈치조림, 친절, 청결, 맛집, 반찬"
만민떡집,하위_10,"맛있어요, 친절해요, 떡, 쫀득쫀득, 추천"
만보민물장어,상위_50_75,"장어정식, 점심특선, 가성비"
만복반미 노형 본점,하위_10,"반미, 코코넛연유커피, 월남쌈"
만사오케이,하위_10,"핸드드립, 친절한 사장님, 아늑한 분위기, 맛있는 음료, 책 읽기 좋은 공간"
만선민물장어,상위_50_75,"장어, 반찬, 친절"
만선바다,상위_25_50,"고등어회, 제주도, 친절한 서비스"
만선식당,상위_10,"고등어회, 신선도, 친절한 서비스"
만운성민물장어,상위_75_90,"맛있어요, 친절, 장어, 계란찜, 밑반찬"
만원애횟집,하위_10,"회, 가성비, 친근함, 밑반찬, 양"
만원의행복,상위_25_50,"가게 리뷰 신선한 회, 가성비, 제주 전통주, 친절한 사장님, 깔끔한 식당, 다양한 메뉴, 오마카세, 자연산 회, 반찬, 맛집"
만원포차,하위_10,"뷔페식, 음식 솜씨, 가성비, 다양한 반찬, 친절한 사장님"
만월당,상위_25_50,"전복리조또, BBQ스테이크, 친절한 직원"
만인정,상위_25_50,"돼지갈비, 친절, 도민맛집"
만장일치 본점,상위_75_90,"안주, 친절, 늦게까지 영업"
만조소머리곰탕,상위_25_50,"곱창전골, 사골육수, 맛집"
만조이천쌀밥 제주성산점,하위_10,"가성비, 옥돔구이, 해물뚝배기, 반찬, 친절"
만족,하위_10,"고기국수, 족발, 신선한 재료, 맛집, 해변, 서비스, 가성비, 분위기"
만족한상회 중문점,상위_10_25,"갈치구이, 갈치조림, 새우장, 간장게장, 반찬, 제주 맛집, 뼈없는, 만족한상, 중문, 친절한 서비스"
만지식당,하위_10,"돈까스, 야끼소바, 친절한 서비스"
말렛,상위_10,"인테리어, 분위기, 칵테일, 친절, 음악"
말로,상위_50_75,"시그니처 음료, 제주도 카페, 야외 공간"
맛있는 소도리김밥,하위_10,"김밥, 키토김밥, 가성비, 위생, 인테리어"
맛있는소리,상위_50_75,"고기 질, 양념갈비, 서비스, 맛, 반찬"
맛있는 온도,상위_25_50,"안주, 친절, 맛집"
맛있는이가국수집,하위_10,"국수, 담백, 고기"
맛있당돈까스 제주본점,하위_10,"돈까스, 친절, 가격, 튀김옷, 재방문"
망고홀릭 애월해안도로점,상위_75_90,"망고, 코코넛, 빙수, 신선함, 친절, 바다뷰, 제주산, 아이스크림, 드라이아이스, 비주얼"
망고홀릭 제주본점,상위_50_75,"망고빙수, 신선로, 제주도"
망고홀릭 종달점,상위_10_25,"망고, 친절, 빙수"
매니아불닭 용담점,상위_50_75,"볶음밥, 친절, 가성비, 맛집, 불닭"
매우릉쭈꾸미 조천점,상위_75_90,"쭈꾸미, 매운 요리, 친절한 서비스"
매일통닭,하위_10,"마늘, 치킨, 친절"
매코롬,하위_10,"주차, 낙지볶음, 친절한 사장님, 맛집, 양이 많음, 매콤한 맛"
멕시카나치킨 대평점,하위_10,"치킨, 친절, 가성비, 바삭바삭, 대평리"
맥키쉬,상위_75_90,"휘낭시에, 쿠키, 디저트"
맨도롱국수집,상위_50_75,"고기국수, 비빔국수, 돔베고기, 전복물회, 친절한 서비스"
맨도롱밥집,상위_50_75,"한식뷔페, 가성비, 반찬"
맨도롱해장국,상위_50_75,"몸국, 겡이국, 해장국, 전복, 제주도, 향토음식, 맛집, 고소함, 시원함, 친절한 서비스"
맵수다 노형점,상위_50_75,"맵수다, 오돌뼈, 가성비, 매운맛, 친절"
머구리해물포차,상위_75_90,"해물탕, 신선한 해산물, 사장님 친절"
머들집,상위_75_90,"청국장, 제육볶음, 오션뷰, 한식, 반찬, 가성비, 친절, 제주도, 맛집, 혼밥"
머문 베이커리카페,상위_25_50,"뷰, 빵, 청결, 가격, 외국인"
머믈,상위_50_75,"와인, 친절, 강아지, 분위기, 맛있음"
머클랑 정육식당 제주성산본점,하위_10,"소고기, 가성비, 친절, 마블링, 된장찌개"
메가박스 제주삼화,상위_10_25,"주차 편리, 직원 친절, 놀이시설"
메가MGC커피 제주대점,상위_25_50,"메가커피, 가성비, 딸기라떼, 커피, 넓은 매장"
메가MGC커피 동광주일등점,상위_50_75,"친절, 단골, 아메리카노, 여름 제철음식, 맛집, 스무디, 커피, 깨끗함"
